"api","district","lease_num","lease_name","well_num","well_type","field_num","field_name","field_type","operator_num","operator_name","acres","acre_feet","deliv_mcf","allowable","monthly_allowable","top_allowable","capability","special_daily_amount","special_allowable_code","k2_special_flag","deliverability_mcf","calc_deliv_potential","shut_in_pressure","bottom_hole_pressure","rock_pressure","gas_grav","cond_grav","gor","g1_test","g1_test_gas","_14_b2_flag","_14_b2_code","_14_b2_date","form_lack","exception_g10_test","exception_bhp_test","exception_sip_test","test_type","test_date","effective_date","gas_mcf","condensate_bbls","water_bbls","shut_in_well_head_pressure","gas_gravity","condensate_gravity","flowing_pressure","test_bottom_hole_pressure","test_calc_deliv_potential","gas_condensate_ratio","potential"
"311-33368","01","162603","SBR","123","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,36,"868N","868N",3100,28,100,"Administrative","No",36,0,2100,0,0,0.626,53,245,"04/01/2000","2880","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/29/2013",null,36,1,1,0,0.692,50.8,100,0,0,36,0
"311-33349","01","162666","SBR","122","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,95,"558N","558N",3100,18,100,"Administrative","No",95,0,2000,0,0,0.619,0,0,"04/01/2000","2766","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/31/2013",null,95,1,1,0,0.692,51,100,0,0,95,0
"311-33348","01","162645","SBR","124","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,54,"465N","465N",3100,15,100,"Administrative","No",54,0,1200,0,0,0.634,56,600,"04/01/2000","2682","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","05/01/2013",null,54,1,1,0,0.649,51.9,100,0,0,54,0
"311-33376","01","162721","SBR","132","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,38,"186N","186N",3100,6,100,"Administrative","No",38,0,1500,0,0,0.684,53.2,122,"04/01/2000","1506","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/12/2013",null,38,1,1,0,0.692,50.8,100,0,0,38,0
"311-33374","01","162720","SBR","128","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,292,"4247X","4247X",9052,137,0,null,"No",292,0,1200,0,0,0.68,53.6,18,"04/01/2000","1731","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","05/08/2013",null,292,1,1,0,0.692,51.6,140,0,0,292,0
"311-33375","01","162872","SBR","131","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,12,"248N","248N",3100,8,100,"Administrative","No",12,0,1000,0,0,0.691,56,29,"04/01/2000","1131","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","04/01/2013",null,12,1,1,0,0.692,46.3,100,0,0,12,0
"311-33377","01","162726","SBR","129","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,150,"868X","868X",4650,28,0,null,"No",150,0,1500,0,0,0.68,55.4,21,"04/01/2000","795","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/22/2013",null,150,1,2,0,0.691,50.6,120,0,0,150,0
"311-33394","01","163034","SBR","135","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,33,"496N","496N",3100,16,100,"Administrative","No",33,0,2000,0,0,0.649,52,154,"04/01/2000","3939","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","05/18/2013",null,33,1,1,0,0.692,54.7,100,0,0,33,0
"311-33387","01","163038","SBR","140","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,33,"372N","372N",3100,12,100,"Administrative","No",33,0,1400,0,0,0.679,52.4,59,"04/01/2000","2238","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/20/2013",null,33,1,1,0,0.691,50.8,100,0,0,33,0
"311-33395","01","163115","SBR","136","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,16,"93N","93N",3100,3,100,"Administrative","No",16,0,1000,0,0,0.648,52,159,"04/01/2000","3015","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/09/2013",null,16,1,1,0,0.692,52.1,100,0,0,16,0
"311-33391","01","163045","SBR","144","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,96,"744N","744N",3100,24,100,"Administrative","No",96,0,1100,0,0,0.717,52.7,30,"04/01/2000","2370","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/31/2013",null,96,1,1,0,0.692,51,100,0,0,96,0
"311-33380","01","163036","SBR","137","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,52,"1023N","1023N",3100,33,100,"Administrative","No",52,0,1500,0,0,0.629,0,0,"04/01/2000","3729","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/22/2013",null,52,8,1,0,0.649,50.6,100,0,0,7,0
"311-33399","01","163179","SBR","145","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,42,"589N","589N",3100,19,100,"Administrative","No",42,0,1000,0,0,0.636,0,0,"04/01/2000","2739","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/31/2013",null,42,1,1,0,0.692,51,100,0,0,42,0
"311-33382","01","162869","SBR","138","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,42,"930N","930N",3100,30,100,"Administrative","No",42,0,2000,0,0,0.631,55.9,203,"04/01/2000","3618","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/23/2013",null,42,3,1,0,0.649,49.8,100,0,0,14,0
"311-33390","01","163044","SBR","143","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,174,"899X","899X",5394,29,0,null,"No",174,0,1500,0,0,0.694,54.9,24,"04/01/2000","2967","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/31/2013",null,174,3,57,0,0.691,51,130,0,0,58,0
"311-33401","01","163181","SBR","153","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,31,"434N","434N",3100,14,100,"Administrative","No",31,0,1800,0,0,0.653,50.1,108,"04/01/2000","2148","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/26/2013",null,31,1,1,0,0.649,48,100,0,0,31,0
"311-33378","01","163047","SBR","130","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,63,"1085N","1085N",3100,35,100,"Administrative","No",63,0,1200,0,0,0.677,0,0,"04/01/2000","1605","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","04/03/2013",null,63,1,10,0,0.692,48,100,0,0,63,0
"311-33388","01","163185","SBR","141","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,20,"186N","186N",3100,6,100,"Administrative","No",20,0,1400,0,0,0.633,0,0,"04/01/2000","1122","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/31/2013",null,20,1,1,0,0.692,51,100,0,0,20,0
"311-33400","01","163192","SBR","152","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,33,"837N","837N",3100,27,100,"Administrative","No",33,0,2000,0,0,0.652,49.9,211,"04/01/2000","2484","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/23/2013",null,33,1,1,0,0.65,49.8,100,0,0,33,0
"311-33383","01","163186","SBR","133","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,1,"0N","0N",3100,0,100,"Administrative","No",1,0,1940,0,0,0.64,51.8,261,"04/01/2000","2169","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","05/19/2013",null,1,1,1,0,0.692,50.8,120,0,0,1,0
"311-33350","01","163379","SBR","125","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,49,"1023N","1023N",3100,33,100,"Administrative","No",49,0,3400,0,0,0.63,47.5,120,"04/01/2000","2562","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","04/28/2013",null,49,2,4,0,0.649,50.8,120,0,0,25,0
"311-33410","01","163193","SBR","149","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,33,"1023N","1023N",3100,33,100,"Administrative","No",33,0,2300,0,0,0.659,52.8,695,"04/01/2000","1761","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/23/2013",null,33,1,1,0,0.649,49.8,100,0,0,33,0
"311-33392","01","163195","SBR","146","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,39,"496N","496N",3100,16,100,"Administrative","No",39,0,2500,0,0,0.629,0,0,"04/01/2000","2862","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","04/28/2013",null,39,1,1,0,0.65,49.2,110,0,0,39,0
"311-33381","01","163190","SBR","139","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,36,"682N","682N",3100,22,100,"Administrative","No",36,0,1200,0,0,0.645,50.6,237,"04/01/2000","1962","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/06/2013",null,36,1,1,0,0.649,48.8,100,0,0,36,0
"311-33398","01","163381","SBR","134","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,19,"310N","310N",3100,10,100,"Administrative","No",19,0,1950,0,0,0.643,56.7,311,"04/01/2000","798","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/31/2013",null,19,1,1,0,0.692,51,100,0,0,19,0
"311-33402","01","163383","SBR","154","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,72,"1178N","1178N",3100,38,100,"Administrative","No",72,0,3400,0,0,0.642,48,261,"04/01/2000","1464","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","04/21/2013",null,72,1,1,0,0.649,51.7,100,0,0,72,0
"311-33415","01","163571","SBR","158","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,102,"248X","248X",3162,8,0,null,"No",102,0,1,0,0,0.677,54.7,68,"04/01/2000","453","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/13/2013",null,102,11,1,0,0.649,50.3,150,0,0,9,0
"311-33409","01","163384","SBR","147","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,83,"589N","589N",3100,19,100,"Administrative","No",83,0,2000,0,0,0.63,48.6,199,"04/01/2000","2262","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/14/2013",null,83,1,1,0,0.649,51.9,100,0,0,83,0
"311-33414","01","163661","SBR","157","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,20,"31N","31N",3100,1,100,"Administrative","No",20,0,4015,0,0,0.749,48.2,2,"04/01/2000","204","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/16/2013",null,20,22,3,0,0.692,52,150,0,0,1,0
"311-33419","01","163573","SBR","126","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,446,"3100X","3100X",13826,100,0,null,"No",446,0,2000,0,0,0.72,56.6,19,"04/01/2000","1035","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/26/2013",null,446,4,6,0,0.692,48,110,0,0,112,0
"311-33424","01","163662","SBR","160","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,37,"248N","248N",3100,8,100,"Administrative","No",37,0,900,0,0,0.701,0,0,"04/01/2000","172","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/02/2013",null,37,1,1,0,0.692,51.9,100,0,0,37,0
"311-33389","01","163574","SBR","142","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,29,"403N","403N",3100,13,100,"Administrative","No",29,0,1200,0,0,0.721,58.3,13,"04/01/2000","1170","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","04/01/2013",null,29,1,1,0,0.692,51.9,100,0,0,29,0
"311-33420","01","163575","SBR","127","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,169,"1147X","1147X",5239,37,0,null,"No",169,0,2300,0,0,0.713,54.2,18,"04/01/2000","1866","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","04/05/2013",null,169,3.2,4,0,0.692,51.6,120,0,0,53,0
"311-33428","01","163891","SBR","172","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,129,"1395X","1395X",3999,45,0,null,"No",129,0,3000,0,0,0.693,52.2,47,"04/01/2000","280","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/12/2013",null,129,1,1,0,0.692,55.1,125,0,0,129,0
"311-33423","01","163664","SBR","159","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,75,"558N","558N",3100,18,100,"Administrative","No",75,0,2400,0,0,0.656,51.8,3,"04/01/2000","828","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","05/06/2013",null,75,1,1,0,0.692,49.2,100,0,0,75,0
"311-33403","01","163669","SBR","155","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,47,"868N","868N",3100,28,100,"Administrative","No",47,0,2000,0,0,0.641,51,3835,"04/01/2000","2025","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/22/2013",null,47,1,1,0,0.649,50.6,120,0,0,47,0
"311-33413","01","163893","SBR","156","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,61,"403N","403N",3100,13,100,"Administrative","No",61,0,2000,0,0,0.64,54.1,174,"04/01/2000","1941","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","04/25/2013",null,61,1,1,0,0.649,51.9,300,0,0,61,0
"311-33429","01","164087","SBR","174","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,97,"434N","434N",3100,14,100,"Administrative","No",97,0,4000,0,0,0.65,53,207,"04/01/2000","1263","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","04/10/2013",null,97,1,1,0,0.692,55.1,100,0,0,97,0
"311-33443","01","164518","SBR","163","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,21,"155N","155N",3100,5,100,"Administrative","No",21,0,3700,0,0,0.695,58.7,27,"04/01/2000","327","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","04/19/2013",null,21,1,1,0,0.692,49.2,100,0,0,21,0
"311-33411","01","164101","SBR","150","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,70,"279N","279N",3100,9,100,"Administrative","No",70,0,2000,0,0,0.763,49,2,"04/01/2000","444","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","04/05/2013",null,70,59.6,11,0,0.649,51.6,140,0,0,1,0
"311-33431","01","164519","SBR","180","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40.5,0,187,"1147X","1147X",5797,37,0,null,"No",187,0,3000,0,0,0.641,0,0,"04/01/2000","1629","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/10/2013",null,187,1,1,0,0.649,51.9,155,0,0,187,0
"311-33427","01","163894","SBR","173","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,346,"3844X","3844X",10726,124,0,null,"No",346,0,2000,0,0,0.695,55.4,61,"04/01/2000","1173","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/18/2013",null,346,3.4,5,0,0.692,51.2,120,0,0,102,0
"311-33437","01","164522","SBR","182","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,78,"744N","744N",3100,24,100,"Administrative","No",78,0,4000,0,0,0.651,0,0,"04/01/2000","705","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","04/28/2013",null,78,8.5,1,0,0.649,51.9,100,0,0,9,0
"311-33422","01","163895","SBR","170","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,47,"558N","558N",3100,18,100,"Administrative","No",47,0,2300,0,0,0.681,54,29,"04/01/2000","1053","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","04/01/2013",null,47,1,1,0,0.692,49.2,100,0,0,47,0
"311-33432","01","164613","SBR","179","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,114,"527X","527X",3534,17,0,null,"No",114,0,4000,0,0,0.63,0,0,"04/01/2000","2145","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","04/24/2013",null,114,1,1,0,0.649,51.9,600,0,0,114,0
"311-33451","01","164750","SBR","167","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,73,"403N","403N",3100,13,100,"Administrative","No",73,0,4000,0,0,0.64,54,154,"04/01/2000","867","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","05/05/2013",null,73,1,2,0,0.649,52,120,0,0,73,0
"311-33450","01","164747","SBR","166","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,47,"31N","31N",3100,1,100,"Administrative","No",47,0,3000,0,0,0.695,57.5,89,"04/01/2000","867","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/20/2013",null,47,1,1,0,0.692,50.8,100,0,0,47,0
"311-33461","01","165004","SBR","169","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,335,"1643X","1643X",10385,53,0,null,"No",335,0,5000,0,0,0.646,0,0,"04/01/2000","2148","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","05/15/2013",null,335,1,15,0,0.649,49.2,1250,0,0,335,0
"311-33430","01","164523","SBR","178","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40.5,0,95,"310N","310N",3100,10,100,"Administrative","No",95,0,2500,0,0,0.643,0,0,"04/01/2000","1539","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","04/01/2013",null,95,1,1,0,0.649,51.9,200,0,0,95,0
"311-33476","01","166655","SBR","165","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,37,"434N","434N",3100,14,100,"Administrative","No",37,0,2000,0,0,0.664,54.6,957,"04/01/2000","540","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","05/11/2013",null,37,1,1,0,0.692,49.2,100,0,0,37,0
"311-33459","01","164933","SBR","168","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,96,"806N","806N",3100,26,100,"Administrative","No",96,0,4500,0,0,0.65,53.6,200,"04/01/2000","1962","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","05/11/2013",null,96,1,1,0,0.649,51.5,100,0,0,96,0
"311-33594","01","178828","SBR","186","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,102,"589X","589X",3162,19,0,null,"No",102,0,2150,0,0,0.669,55,1573,"08/30/2000","642","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/23/2013",null,102,1,6,0,0.649,49.8,100,0,0,102,0
"311-33343","01","171794","SBR","121","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,57,"527N","527N",3100,17,100,"Administrative","No",57,0,3300,0,0,0.66,0,0,"04/01/2000","855","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/28/2013",null,57,1,1,0,0.692,50.8,140,0,0,57,0
"311-33480","01","166835","SBR","171","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,101,"620X","620X",3131,20,0,null,"No",101,0,3000,0,0,0.652,53.7,217,"04/01/2000","1350","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","04/29/2013",null,101,1,1,0,0.649,50.8,100,0,0,101,0
"311-33560","01","175405","SBR","183","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,59,"1116N","1116N",3100,36,100,"Administrative","No",59,0,3300,0,0,0.657,54.4,74,"04/01/2000","1032","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","04/30/2013",null,59,1,1,0,0.649,51.9,100,0,0,59,0
"311-33577","01","176737","SBR","185","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,63,"279N","279N",3100,9,100,"Administrative","No",63,0,2900,0,0,0.657,54.3,96,"04/11/2000","0","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/01/2013",null,63,1,1,0,0.649,53,100,0,0,63,0
"311-33609","01","179214","SBR","189","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,109,"496X","496X",3379,16,0,null,"No",109,0,2650,0,0,0.683,56,8387,"10/05/2000","780","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","05/05/2013",null,109,1,1,0,0.649,52,100,0,0,109,0
"311-33586","01","178513","SBR","187","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,1,"0N","0N",3100,0,100,"Administrative","No",1,0,2850,0,0,0.66,51.4,60,"06/09/2000","0","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","04/19/2013",null,1,1,1,0,0.649,50.8,850,0,0,1,0
"311-33607","01","179164","SBR","191","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,28,"868N","868N",3100,28,100,"Administrative","No",28,0,2200,0,0,0.672,53.3,5570,"10/04/2000","630","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/22/2013",null,28,1,1,0,0.649,50.6,110,0,0,28,0
"311-33606","01","179163","SBR","190","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,105,"558X","558X",3255,18,0,null,"No",105,0,3960,0,0,0.644,55,3269,"10/05/2000","1020","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","04/22/2013",null,105,1,1,0,0.649,51.9,600,0,0,105,0
"311-33616","01","179789","SBR","192","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,36,"279N","279N",3100,9,100,"Administrative","No",36,0,4080,0,0,0.65,0,0,"11/10/2000","537","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/28/2013",null,36,1,2,0,0.649,51.9,100,0,0,36,0
